Branch,Staff,Operating_Cost,Deposits_2016,Deposit_Growth,Avg_Deposits,Latitude,Longitude
Washington Centerville Branch,0.0367626,3676.26,183813,15592696.0,116487.85714285714,39.65764,-84.15747
Wright Patterson Afb Branch,0.0093374,933.74,46687,15526728.0,41187.57142857143,39.81552,-84.03061
South Centerville Branch,0.017566599999999998,1756.66,87833,15534724.0,70063.28571428571,39.61488,-84.16024
Englewood Taywood Branch,0.0108644,1086.44,54322,15527868.0,48142.57142857143,39.86745,-84.29124
Springboro Branch,0.013578999999999999,1357.9,67895,15530340.0,53029.857142857145,39.56119,-84.247
Beavercreek Branch,0.014848799999999999,1484.88,74244,15530828.0,63229.142857142855,39.7224,-84.06528
Fairborn Branch,0.010835,1083.5,54175,15527953.0,49575.71428571428,39.78325,-83.99934
Xenia Branch,0.0066742,667.42,33371,15528778.0,27684.14285714286,39.68333,-83.93496
Tipp City Branch,0.0102036,1020.36,51018,15531800.0,38591.28571428572,39.96162,-84.19393
Eaton Branch,0.007262599999999999,726.26,36313,15525836.0,32790.857142857145,39.75879,-84.63648
Piqua Branch,0.010128999999999999,1012.9,50645,15528644.0,43279.28571428572,40.14981,-84.23817
Miamisburg Branch,0.009585999999999999,958.6,47930,15528795.0,40181.857142857145,39.63858,-84.26494
Greenville Branch,0.0082126,821.26,41063,15526415.0,36014.71428571428,40.11595,-84.62221
Troy Branch,0.011146999999999999,1114.7,55735,15531266.0,42183.71428571428,40.04487,-84.21522
Wright-Dunbar Branch,0.003591,359.1,17955,15525080.0,16563.571428571428,39.75592,-84.21375
Washington Park Branch,0.0272676,2726.76,136338,15530003.0,114262.28571428571,39.63091,-84.19601
Fairfield Commons Branch,0.015456399999999999,1545.64,77282,15536045.0,55508.142857142855,39.76461,-84.05422
Mulberry Milford Branch,0.0130408,1304.08,65204,15529439.0,52647.857142857145,39.19667,-84.2318
Elm Road Branch,0.0131454,1314.54,65727,15526571.0,55257.57142857143,41.26564,-80.78282
New Massillon Branch,0.00847,847.0,42350,15524411.0,36049.42857142857,40.79638,-81.52347
Gahanna North Branch,0.0345598,3455.98,172799,15543318.0,135775.0,40.05873,-82.86346
Maxtown Branch,0.0407944,4079.44,203972,15542617.0,157196.7142857143,40.14872,-82.92273
Turfway Branch,0.012823399999999999,1282.34,64117,15529161.0,49282.0,39.01793,-84.63236
Lewis Center Branch,0.0218642,2186.42,109321,15534470.0,81390.14285714286,40.1628,-83.01949
Powell Road Branch,0.029309799999999997,2930.98,146549,15551986.0,102897.28571428571,40.15861,-83.09483
University High Street Branch,0.051604,5160.400000000001,258020,15571729.0,160559.85714285713,39.997,-83.00749
Ridgewood and Westminster,0.0124164,1241.64,62082,15531630.0,48095.71428571428,41.38452,-81.74364
Huntington Main Branch,0.044798399999999995,4479.84,223992,15540161.0,188615.57142857142,38.4197,-82.44182
Barboursville Branch,0.016346799999999998,1634.68,81734,15529299.0,68205.14285714286,38.41364,-82.30615
Milton Branch,0.0056548,565.48,28274,15525800.0,22821.714285714286,38.4348,-82.12833
Beckley Main Branch,0.018483,1848.3,92415,15522248.0,92917.14285714286,37.77558,-81.19171
By-Pass Plaza Branch,0.011551599999999999,1155.16,57758,15526374.0,53424.142857142855,37.81259,-81.18572
Beaver Branch,0.0136826,1368.26,68413,15524668.0,69729.85714285714,37.74905,-81.13496
Oak Hill Branch,0.0108202,1082.02,54101,15523459.0,55498.0,37.97416,-81.14501
Buckhannon Main Branch,0.02465,2465.0,123250,15523253.0,120726.14285714286,38.9941,-80.22954
Charleston Main Branch,0.049860999999999996,4986.1,249305,15507704.0,259706.57142857142,38.3498,-81.63671
South Charleston Branch,0.0116384,1163.84,58192,15522755.0,52988.42857142857,38.367,-81.69544
South Hills Branch,0.0056254,562.54,28127,15524322.0,27312.285714285714,38.3412,-81.64256
Elkview Branch,0.0089018,890.1800000000001,44509,15542749.0,28560.571428571428,38.44131,-81.48471
Kanawha City Branch,0.0104546,1045.46,52273,15525787.0,49899.857142857145,38.29881,-81.60487
State Capitol Branch,0.0043938,439.38,21969,15526508.0,18615.285714285714,38.34012,-81.61594
Clarksburg Main Branch,0.030489799999999997,3048.98,152449,15543620.0,161622.42857142858,39.27896,-80.33813
Bridgeport Johnson Avenue Branch,0.0130516,1305.16,65258,15519550.0,57693.57142857143,39.29978,-80.27681
Logan Main Branch,0.0144552,1445.52,72276,15517505.0,81868.85714285714,37.84285,-81.97699
Chapmanville Branch,0.0115622,1156.22,57811,15526031.0,52709.71428571428,37.94818,-82.05171
St. Albans Branch,0.0110642,1106.42,55321,15525772.0,52703.28571428572,38.3886,-81.82979
Wayne Main Branch,0.0086674,866.74,43337,15537896.0,32589.14285714286,38.22371,-82.43259
Lavalette Branch,0.0042372,423.72,21186,15525550.0,18196.85714285714,38.37642,-82.45459
Wheeling Main Branch,0.013595999999999999,1359.6000000000001,67980,15526699.0,63952.42857142857,40.06854,-80.72262
Shadyside Branch,0.005075,507.5,25375,15524311.0,21405.85714285714,39.9739,-80.74627
Bellaire Branch,0.006559799999999999,655.98,32799,15522928.0,30979.714285714286,40.01414,-80.74332
Steubenville Branch,0.0072169999999999995,721.7,36085,15525796.0,37845.857142857145,40.36006,-80.6151
Bae Mar Branch,0.009498999999999999,949.9,47495,15524056.0,38834.57142857143,40.07223,-80.68236
Wintersville Branch,0.0138912,1389.1200000000001,69456,15524758.0,62271.0,40.37141,-80.68704
Teays Valley Banking Center Branch,0.0089622,896.22,44811,15529798.0,31715.0,38.45185,-81.93741
Graceland Banking Center Branch,0.0081202,812.02,40601,15527243.0,36868.42857142857,40.06601,-83.02446
Rocky River Banking Center Branch,0.0158916,1589.16,79458,15531317.0,57728.71428571428,41.45943,-81.86106
Chase Center Branch,0.165274,16527.4,826370,15520138.0,768799.7142857143,41.505,-81.69111
Polaris Branch,0.051467599999999995,5146.76,257338,15568269.0,167373.0,40.14446,-82.99116
Sugarcreek Banking Center Branch,0.0115372,1153.72,57686,15526546.0,45236.857142857145,39.63295,-84.11038
Chicago's Main Office Branch,7.3078056,730780.56,36539028,8736328.0,35994946.571428575,41.88187,-87.62948
Near North Branch,0.07318179999999999,7318.18,365909,15543993.0,291699.71428571426,41.90242,-87.6314
Wacker Drive Branch,0.0663444,6634.4400000000005,331722,15548947.0,248322.42857142858,41.88686,-87.62694
Oak Brook Branch,0.0743682,7436.82,371841,15554490.0,281599.0,41.84634,-87.97138
Elmhurst York Branch,0.0437016,4370.16,218508,15545808.0,166725.14285714287,41.90178,-87.93988
Niles Branch,0.055776,5577.6,278880,15553694.0,214753.0,42.05471,-87.83853
Little Village Branch,0.0183312,1833.1200000000001,91656,15532176.0,71802.14285714286,41.84436,-87.7214
Oak Park/Madison Branch,0.0274932,2749.32,137466,15539353.0,106830.28571428571,41.89475,-87.78969
Western Branch,0.0122338,1223.38,61169,15528456.0,53390.0,41.78014,-87.68353
Oak Lawn Branch,0.038776399999999996,3877.64,193882,15541412.0,146454.14285714287,41.70296,-87.74032
Antioch Branch,0.0142584,1425.84,71292,15527152.0,61394.857142857145,42.47727,-88.09744
Northbrook Dundee Branch,0.0458154,4581.54,229077,15543753.0,190590.7142857143,42.13821,-87.84854
Glenview/River Drive Branch,0.047302399999999994,4730.24,236512,15540476.0,184412.57142857142,42.07262,-87.80107
Rogers Park Branch,0.053782199999999995,5378.22,268911,15540545.0,223361.14285714287,42.00926,-87.69006
79th/Cicero Branch,0.048885599999999994,4888.56,244428,15543709.0,180017.42857142858,41.74931,-87.74003
West Lakeview Branch,0.088021,8802.1,440105,15563786.0,330817.71428571426,41.94268,-87.66867
Orland Park Lagrange Branch,0.08817939999999999,8817.94,440897,15560182.0,357927.0,41.61522,-87.85346
Kedzie Branch,0.0162962,1629.6200000000001,81481,15528713.0,71935.28571428571,41.74112,-87.70216
Archer Branch,0.029670199999999997,2967.02,148351,15538953.0,110327.57142857143,41.81445,-87.70373
Worth Branch,0.0213822,2138.2200000000003,106911,15531286.0,87471.0,41.6902,-87.79017
Berwyn Branch,0.028336,2833.6,141680,15542621.0,104405.71428571429,41.8507,-87.78754
East Lakeview Branch,0.11927679999999999,11927.68,596384,15576490.0,464258.71428571426,41.93757,-87.6487
Lincoln Park Branch,0.0718236,7182.360000000001,359118,15550779.0,300551.14285714284,41.9217,-87.6646
Bolingbrook Branch,0.024534999999999998,2453.5,122675,15530638.0,96597.28571428571,41.70976,-88.0728
Mt. Prospect - Busse Branch,0.126385,12638.5,631925,15458673.0,610940.5714285715,42.06444,-87.9352
Golf Road Branch,0.060610399999999995,6061.04,303052,15549081.0,236193.0,42.05121,-87.98146
Palatine Branch,0.0476356,4763.56,238178,15539627.0,179016.2857142857,42.139,-88.01541
Oak Park Branch,0.09960179999999999,9960.18,498009,15562104.0,416177.85714285716,41.88865,-87.80247
Winnetka Branch,0.2303134,23031.34,1151567,15819143.0,638640.0,42.1059,-87.73346
Ravenswood Branch,0.10499539999999999,10499.54,524977,15581393.0,427213.14285714284,41.96874,-87.6751
Schiller Park Branch,0.0351184,3511.84,175592,15543973.0,131286.85714285713,41.95413,-87.86025
Lansing Ridge Branch,0.0321302,3213.02,160651,15538533.0,132192.7142857143,41.56471,-87.54133
Naperville Branch,0.10429279999999999,10429.28,521464,15566079.0,398278.71428571426,41.7528,-88.11933
Fox Valley Branch,0.0768524,7685.24,384262,15559109.0,305755.5714285714,41.75821,-88.20751
Downers Grove Ogden Branch,0.0605784,6057.84,302892,15539352.0,238154.57142857142,41.80861,-88.01473
Batavia Avenue Branch,0.0205108,2051.08,102554,15534986.0,80722.85714285714,41.85194,-88.31221
Randall Branch,0.045238999999999994,4523.900000000001,226195,15541493.0,170647.42857142858,41.84985,-88.34034
Stratford Branch,0.07510739999999999,7510.74,375537,15552547.0,296785.85714285716,41.9535,-88.10883
Springbrook Branch,0.0453098,4530.9800000000005,226549,15550353.0,178236.0,41.95807,-88.08513
Wheaton Main Branch,0.07924139999999999,7924.14,396207,15537417.0,378056.14285714284,41.86611,-88.10631
Carol Stream Branch,0.0688612,6886.12,344306,15527843.0,271305.28571428574,41.89198,-88.10545
Warrenville Facility Branch,0.023386399999999998,2338.64,116932,15533614.0,93368.57142857143,41.8313,-88.19943
Wheaton South Facility Branch,0.118251,11825.1,591255,15567758.0,484685.5714285714,41.83945,-88.10177
Dunham Branch,0.0399972,3999.7200000000003,199986,15538503.0,154954.14285714287,41.9225,-88.28533
St. Charles/Randall Facility Branch,0.0546578,5465.78,273289,15559048.0,204285.0,41.90406,-88.34008
Elgin Randall Rd Branch,0.037804,3780.4,189020,15544880.0,148120.7142857143,42.02597,-88.33898
Stony Island Branch,0.0242422,2424.2200000000003,121211,15531088.0,108494.85714285714,41.77396,-87.58639
Michigan Avenue Branch,0.1455734,14557.34,727867,15552277.0,618799.7142857143,41.89283,-87.62411
Hancock Center Branch,0.08872179999999999,8872.18,443609,15580856.0,314829.71428571426,41.89843,-87.62395
Hinsdale/Ogden Branch,0.0645656,6456.56,322828,15538886.0,242933.42857142858,41.81739,-87.92061
Woodridge Branch,0.0909104,9091.04,454552,15563448.0,367905.5714285714,41.75106,-88.01255
Sauganash Branch,0.053436399999999995,5343.64,267182,15546422.0,213954.2857142857,41.98994,-87.73268
River Grove Branch,0.0093662,936.62,46831,15528551.0,34361.57142857143,41.93692,-87.83586
Romeoville/Phelps Branch,0.016187399999999998,1618.74,80937,15528676.0,68413.28571428571,41.6532,-88.08312
Crystal Lake Main Branch,0.025892,2589.2000000000003,129460,15536356.0,91331.71428571429,42.22563,-88.31182
Milwaukee Avenue Branch,0.16778079999999998,16778.08,838904,15425672.0,872659.5714285715,41.9872,-87.77815
Barrington Branch,0.0319434,3194.34,159717,15548195.0,146678.2857142857,42.16154,-88.13796
Elgin Branch,0.0113986,1139.8600000000001,56993,15525169.0,53754.71428571428,42.03726,-88.28477
Dempster Branch,0.039922,3992.2000000000003,199610,15548832.0,148655.7142857143,42.04084,-87.73269
Lincoln Branch,0.0491606,4916.06,245803,15541468.0,215226.42857142858,42.02645,-87.75454
Arlington Rand Branch,0.0654778,6547.78,327389,15623749.0,199499.14285714287,42.11184,-87.97903
Shady Oaks Branch,0.0221712,2217.12,110856,15532259.0,88185.85714285714,42.04652,-88.25159
Hoffman Estates Branch,0.046362799999999996,4636.28,231814,15538629.0,177074.85714285713,42.04647,-88.143
Larkin Branch,0.0200648,2006.48,100324,15525424.0,87377.14285714286,42.03404,-88.31806
Orrington Branch,0.10738639999999999,10738.64,536932,15556861.0,421812.85714285716,42.04676,-87.68143
Mcdaniel Banking Center Branch,0.026422599999999997,2642.26,132113,15532080.0,109000.85714285714,42.05297,-87.70977
Pfingsten Branch,0.09488579999999999,9488.58,474429,15575723.0,378961.71428571426,42.10638,-87.84889
Highland Park Branch,0.101493,10149.300000000001,507465,15567818.0,502881.71428571426,42.1861,-87.79839
Gurnee Branch,0.0418418,4184.18,209209,15550143.0,150185.7142857143,42.38572,-87.96013
Lake Zurich Plaza Branch,0.0484686,4846.86,242343,15549670.0,180213.42857142858,42.20147,-88.04728
Lemont Branch,0.0418686,4186.86,209343,15550737.0,145404.57142857142,41.65948,-87.99999
Randhurst Branch,0.17184,17184.0,859200,15548832.0,797878.2857142857,42.0879,-87.93418
Mt. Prospect Countryside Branch,0.0480894,4808.9400000000005,240447,15540647.0,192230.42857142858,42.04364,-87.94082
Streamwood Facility Branch,0.0202282,2022.82,101141,15532148.0,81493.28571428571,42.01281,-88.17963
Woodfield Facility Branch,0.0008192,81.92,4096,15524401.0,3660.285714285714,42.05163,-88.04882
Northfield Branch,0.0446672,4466.72,223336,15536308.0,181279.57142857142,42.10233,-87.77094
Winfield Road Branch,0.023989999999999997,2399.0,119950,15531781.0,98009.57142857143,41.87105,-88.15791
Schaumburg-Meacham Branch,0.1015344,10153.44,507672,15558096.0,362407.85714285716,42.04033,-88.04558
Elk Grove Village-Higgins Rd Branch,0.041686799999999996,4168.68,208434,15545573.0,165550.57142857142,42.02827,-87.98615
Park Ridge Facility Branch,0.20567339999999998,20567.34,1028367,15561964.0,757365.2857142857,42.01148,-87.82995
Scott Branch,0.012294,1229.4,61470,15528562.0,54110.71428571428,41.52653,-88.08014
Jefferson Branch,0.0238092,2380.92,119046,15540278.0,93432.71428571429,41.522,-88.1433
Park Forest Branch,0.010849,1084.9,54245,15529053.0,43465.142857142855,41.48598,-87.67877
Plainfield Illinois Branch,0.0146118,1461.18,73059,15528322.0,62669.28571428572,41.60771,-88.20363
Shorewood Branch,0.030492199999999997,3049.2200000000003,152461,15565770.0,94251.42857142857,41.5215,-88.20871
Crest Hill Branch,0.0242022,2420.2200000000003,121011,15533499.0,103176.0,41.55319,-88.12322
Mokena Branch,0.008779799999999999,877.98,43899,15526949.0,35384.142857142855,41.53106,-87.88775
New Lenox Branch,0.0193926,1939.26,96963,15528442.0,83021.57142857143,41.5176,-87.98002
Deerfield Branch,0.10038359999999999,10038.36,501918,15571772.0,371284.14285714284,42.16675,-87.84567
Marengo Branch,0.0061242,612.42,30621,15526114.0,27041.14285714286,42.24816,-88.60732
Woodstock Branch,0.0109118,1091.18,54559,15529417.0,40539.57142857143,42.31529,-88.44714
Algonquin Branch,0.0126576,1265.76,63288,15531381.0,47589.857142857145,42.16117,-88.27583
Cary Branch,0.0229044,2290.44,114522,15532377.0,89586.57142857143,42.21168,-88.24576
Lake Zurich-Rand Branch,0.0372756,3727.56,186378,15542905.0,136178.42857142858,42.17606,-88.07498
Lockport Jewel Branch,0.0080324,803.24,40162,15529252.0,26632.714285714286,41.63044,-87.93117
Lake Forest Branch,0.0386558,3865.58,193279,15544465.0,134650.42857142858,42.25011,-87.83933
Arlington Heights Dunton Branch,0.08233299999999999,8233.3,411665,15540401.0,361573.5714285714,42.05782,-87.98835
Roosevelt & Canal Jewel Branch,0.0123932,1239.32,61966,15526835.0,47889.28571428572,41.86601,-87.63928
Grand Branch,0.066894,6689.400000000001,334470,15493614.0,329803.28571428574,41.93161,-87.93619
Bensenville-Main Branch,0.023372999999999998,2337.3,116865,15531226.0,94314.71428571429,41.95731,-87.94192
Libertyville-Milwaukee Branch,0.081218,8121.8,406090,15530860.0,356809.14285714284,42.26315,-87.94915
Cook Branch,0.030500799999999998,3050.08,152504,15536234.0,122257.42857142857,42.28775,-87.95598
Melrose Park Branch,0.033246399999999995,3324.64,166232,15524541.0,149477.2857142857,41.90302,-87.86312
Elk Grove Town Center Branch,0.0162482,1624.82,81241,15529182.0,62774.57142857143,42.00174,-88.00581
Naperville Rt 59 and 95th Branch,0.013174799999999999,1317.48,65874,15530926.0,47636.71428571428,0.0,0.0
Bartlett Branch,0.0117842,1178.42,58921,15528603.0,44013.142857142855,0.0,0.0
Evanston-Grove Branch,0.0218382,2183.82,109191,15535464.0,78641.28571428571,42.04551,-87.684
North Evanston Facility Branch,0.0377928,3779.28,188964,15535753.0,147433.0,42.06427,-87.69883
Mcclean Branch,0.0166574,1665.74,83287,15528755.0,72739.28571428571,42.0594,-88.31545
LA Grange Branch,0.055342999999999996,5534.3,276715,15551929.0,208144.42857142858,41.81551,-87.86973
Willowbrook Facility Branch,0.0903316,9033.16,451658,15566012.0,325232.28571428574,41.76227,-87.94115
Wilmette Main Branch,0.108639,10863.9,543195,15584956.0,452910.14285714284,42.07675,-87.70769
Jeffery Manor Branch,0.0117434,1174.34,58717,15526880.0,44216.57142857143,41.72248,-87.57763
Glenview Jewel Branch,0.0116028,1160.28,58014,15524921.0,45755.142857142855,42.07979,-87.81818
Baton Rouge Main Branch,0.99908,99908.0,4995400,15171380.0,4952717.285714285,30.44935,-91.18648
Fourth Street Branch,0.0069876,698.76,34938,15545794.0,15475.0,32.50868,-92.11893
Northside Branch,0.0170474,1704.74,85237,15538413.0,64535.57142857143,32.52672,-92.11554
Jackson Street - Monroe Branch,0.032853799999999996,3285.38,164269,15506993.0,197799.85714285713,32.498,-92.11383
University Monroe Branch,0.0080926,809.26,40463,15529273.0,32619.285714285714,32.5333,-92.07936
Glenwood Branch,0.011023999999999999,1102.4,55120,15531699.0,43526.42857142857,32.51608,-92.15735
Eastside Branch,0.005558,555.8000000000001,27790,15526680.0,22734.0,32.52993,-92.03305
Line Avenue Branch,0.010075599999999999,1007.5600000000001,50378,15526465.0,47242.857142857145,32.49553,-93.7461
Greenwood Road Branch,0.0043419999999999995,434.2,21710,15524694.0,20456.285714285714,32.47334,-93.80017
Broadmoor Shreveport Branch,0.0192022,1920.22,96011,15530710.0,78085.0,32.48007,-93.72211
E 70th Shreveport Branch,0.0079772,797.72,39886,15544966.0,21063.428571428572,32.44206,-93.75187
North Shreveport Branch,0.010286,1028.6,51430,15525232.0,46222.42857142857,32.53568,-93.76682
Southern Hills Shreveport Branch,0.012250599999999999,1225.06,61253,15525336.0,59547.0,32.40701,-93.79974
Huntington 70th Street Branch,0.0086528,865.28,43264,15523850.0,42077.142857142855,32.44209,-93.85708
East 80 Branch,0.0071021999999999995,710.22,35511,15525751.0,33055.0,32.55628,-93.5677
Airline Bossier Branch,0.014093,1409.3,70465,15530979.0,55620.0,32.52816,-93.70179
Shreveport Main Branch,0.1100756,11007.56,550378,15465585.0,382433.4285714286,32.51358,-93.74879
Baker Branch,0.0069938,699.38,34969,15525283.0,30502.85714285714,30.59236,-91.16726
Highland Road Branch,0.031348799999999996,3134.88,156744,15533616.0,133007.7142857143,30.3784,-91.13896
North Sherwood Branch,0.0124288,1242.88,62144,15527777.0,54278.28571428572,30.45916,-91.05749
Airline Branch,0.0082176,821.76,41088,15546877.0,21236.714285714286,30.50215,-91.13115
Perkins Road Branch,0.017525,1752.5,87625,15534667.0,66238.0,30.41993,-91.15039
Zachary Branch,0.012494799999999999,1249.48,62474,15531243.0,50954.57142857143,30.64713,-91.15063
Harding-Plank Branch,0.0081826,818.26,40913,15526725.0,39326.71428571428,30.52066,-91.14575
Drusilla Branch,0.019036,1903.6000000000001,95180,15527477.0,82816.57142857143,30.41924,-91.08881
Tara Branch,0.012641,1264.1000000000001,63205,15531776.0,50630.142857142855,30.44265,-91.0951
South Sherwood Forest Branch,0.017315999999999998,1731.6000000000001,86580,15526025.0,75825.57142857143,30.42063,-91.05165
Shenandoah Branch,0.014934399999999999,1493.44,74672,15529869.0,56071.142857142855,30.39665,-91.0177
Siegen Lane Branch,0.025558599999999997,2555.86,127793,15529805.0,99884.85714285714,30.36987,-91.07348
Sullivan Road Branch,0.0138316,1383.16,69158,15528782.0,55369.57142857143,30.51314,-91.03006
O'neal Lane Branch,0.0063136,631.36,31568,15528504.0,25332.285714285714,30.45079,-91.00799
Houma Main Branch,0.0397608,3976.08,198804,15450308.0,123707.85714285714,29.5984,-90.7179
Larose Branch,0.0061725999999999994,617.26,30863,15522454.0,31638.85714285714,29.5722,-90.3816
Lockport Branch,0.0092234,922.34,46117,15522198.0,55792.857142857145,29.63952,-90.53854
Bayou Blue Branch,0.006229999999999999,623.0,31150,15521177.0,36512.71428571428,29.6474,-90.68992
Galliano Branch,0.006039999999999999,604.0,30200,15520865.0,31238.428571428572,29.44104,-90.30058
Des Allemands Branch,0.0034814,348.14,17407,15524971.0,16109.42857142857,29.82333,-90.47825
Raceland Branch,0.009054399999999999,905.44,45272,15525802.0,43036.42857142857,29.72893,-90.59765
Chauvin Branch,0.0053138,531.38,26569,15524123.0,26888.571428571428,29.44466,-90.5941
East Side Branch,0.0082688,826.88,41344,15522699.0,38508.71428571428,29.58838,-90.70307
Southland Mall Branch,0.012750599999999999,1275.06,63753,15522979.0,59936.28571428572,29.6329,-90.75747
Bayou Black Branch,0.0121662,1216.6200000000001,60831,15526894.0,49853.857142857145,29.58109,-90.7478
Prospect Branch,0.0066472,664.72,33236,15523663.0,30009.85714285714,29.58259,-90.65954
University-Thibodaux Branch,0.011283999999999999,1128.4,56420,15527334.0,46814.57142857143,29.77427,-90.81663
Second Avenue Branch,0.00526,526.0,26300,15524135.0,21534.14285714286,30.22743,-93.19986
Westlake Mckinley Branch,0.0055876,558.76,27938,15525732.0,22895.0,30.24768,-93.25616
Prien Branch,0.0076592,765.9200000000001,38296,15526536.0,33015.71428571428,30.19831,-93.20417
Nelson Road Branch,0.0198938,1989.38,99469,15540265.0,69829.71428571429,30.18344,-93.24942
Moss Bluff Branch,0.005937,593.7,29685,15524303.0,25290.14285714286,30.30066,-93.20494
Carencro Branch,0.008976399999999999,897.64,44882,15524637.0,38678.0,30.30589,-92.0494
West University Lafayette Branch,0.0064183999999999995,641.84,32092,15525337.0,28016.0,30.23061,-92.03141
Oil Center Branch,0.0199728,1997.28,99864,15526504.0,79882.71428571429,30.20639,-92.01227
Scott Branch,0.014657199999999999,1465.72,73286,15528052.0,61636.857142857145,30.23366,-92.09144
Moss Street Branch,0.012024,1202.4,60120,15524989.0,51199.0,30.25449,-92.00522
Pinhook Road Branch,0.013697599999999999,1369.76,68488,15525087.0,61196.857142857145,30.18844,-92.01393
Broadmoorlafayette Branch,0.0241674,2416.7400000000002,120837,15527323.0,98079.28571428571,30.18217,-92.07036
Congress Branch,0.018196399999999998,1819.64,90982,15523978.0,76740.28571428571,30.19874,-92.06935
Southpark Branch,0.019596,1959.6000000000001,97980,15529002.0,76741.85714285714,30.16512,-91.98704
Kaliste Saloom Road Branch,0.013973,1397.3,69865,15528208.0,49635.142857142855,30.17378,-92.02887
Southside Branch,0.0065114,651.14,32557,15521357.0,31242.714285714286,29.98726,-91.83803
North Lewis Branch,0.0078446,784.46,39223,15527339.0,32183.285714285714,,
Place St. Charles Branch,0.2587634,25876.34,1293817,15524078.0,1239401.857142857,29.95222,-90.06985
Broad-Desoto Branch,0.0101976,1019.76,50988,15526277.0,44543.857142857145,29.97679,-90.07778
Ruston Main Branch,0.014193599999999999,1419.3600000000001,70968,15524918.0,68405.71428571429,32.53246,-92.63897
I-20 Branch,0.005965,596.5,29825,15524975.0,25776.714285714286,32.49773,-92.64439
Southfield Albertson's Branch,0.0041978,419.78000000000003,20989,15525263.0,19130.714285714286,32.45659,-93.70951
Old Minden Rd Branch,0.0234698,2346.98,117349,15523017.0,111805.57142857143,32.52251,-93.69724
South Bossier Branch,0.011014,1101.4,55070,15527405.0,48853.42857142857,32.47068,-93.6704
Bonnabel Branch,0.020187399999999998,2018.74,100937,15531609.0,88506.85714285714,30.00165,-90.13825
Ryan Street Branch,0.0117822,1178.22,58911,15527891.0,47756.28571428572,30.19049,-93.21848
Hammond Wal-Mart Branch,0.0030789999999999997,307.90000000000003,15395,15526409.0,11705.285714285714,30.50302,-90.49259
Parc Fontaine Branch,0.0299998,2999.98,149999,15531619.0,132399.0,29.91933,-90.01129
Royal-Bienville Branch,0.011956,1195.6000000000001,59780,15533205.0,48944.42857142857,29.95438,-90.06792
Carrollton Branch,0.0308086,3080.86,154043,15528853.0,130879.57142857143,29.9552,-90.121
St. Charles Avenue Branch,0.0276598,2765.98,138299,15521696.0,118587.85714285714,29.93397,-90.08057
Gentilly-Woods Branch,0.0126374,1263.74,63187,15522825.0,60483.28571428572,30.00516,-90.03719
Harrison Avenue Branch,0.0431126,4311.26,215563,15535163.0,181442.14285714287,30.00483,-90.1072
Touro Branch,0.0092338,923.38,46169,15526212.0,42556.857142857145,29.92637,-90.09248
Prytania Drive Up Branch,0.0016967999999999998,169.68,8484,15523852.0,9185.857142857143,29.92452,-90.10791
Mandeville Branch,0.014799399999999999,1479.94,73997,15526896.0,65215.28571428572,30.37721,-90.09203
Slidell Branch,0.024399999999999998,2440.0,122000,15525979.0,112860.0,30.28493,-89.77629
Elmwood Branch,0.038571999999999995,3857.2000000000003,192860,15532262.0,174909.7142857143,29.95769,-90.18303
Ormond Branch,0.017237799999999998,1723.78,86189,15532059.0,67548.42857142857,29.9842,-90.35102
Covington Branch,0.021243599999999998,2124.36,106218,15522977.0,91165.71428571429,30.46597,-90.08428
Manhattan Boulevard Branch,0.0268036,2680.36,134018,15535474.0,108943.0,29.87948,-90.05105
Veterans Branch,0.047889799999999996,4788.9800000000005,239449,15528204.0,227405.14285714287,30.00434,-90.16791
Laplace Branch,0.0125048,1250.48,62524,15528765.0,55948.42857142857,30.06691,-90.48082
East Gause Branch,0.0185346,1853.46,92673,15520224.0,83575.57142857143,30.28523,-89.74155
Kenner Branch,0.036237399999999996,3623.7400000000002,181187,15535252.0,151048.85714285713,30.02061,-90.23913
Terrytown Branch,0.0284126,2841.26,142063,15524281.0,128241.71428571429,29.90248,-90.04978
Roosevelt Branch,0.021767599999999998,2176.76,108838,15522783.0,102971.71428571429,30.00594,-90.22787
Severn Branch,0.0384206,3842.06,192103,15570572.0,143229.57142857142,30.0121,-90.15921
Old Metairie Branch,0.028358599999999998,2835.86,141793,15528215.0,123209.71428571429,29.98732,-90.13916
Harahan Branch,0.0163456,1634.56,81728,15528063.0,76195.42857142857,29.93584,-90.20066
Prytania Branch,0.0329058,3290.58,164529,15542818.0,120741.42857142857,29.92465,-90.1089
Pontchartrain Branch,0.0128016,1280.16,64008,15525564.0,60575.57142857143,30.25659,-89.78852
Highway 22 Branch,0.0520046,5200.46,260023,15556224.0,209163.2857142857,30.38788,-90.08035
Lakewood Slidell Branch,0.0177412,1774.1200000000001,88706,15527804.0,89591.57142857143,30.2846,-89.76069
West Judge Perez Branch,0.0226424,2264.2400000000002,113212,15521374.0,115782.0,29.95141,-89.97354
Jefferson Street Branch,0.0506448,5064.4800000000005,253224,15519614.0,284770.28571428574,30.22414,-92.01885
Crossroads South Albertsons Branch,0.0084306,843.0600000000001,42153,15524754.0,33749.0,30.15849,-92.05091
College Road Albertsons Branch,0.0043933999999999996,439.34000000000003,21967,15524893.0,18969.14285714286,30.20762,-92.03799
North Court Branch,0.014905199999999999,1490.52,74526,15527509.0,69994.71428571429,30.53556,-92.08252
Port Barre Branch,0.0034974,349.74,17487,15525133.0,14378.0,30.54742,-91.9111
